"","nicheout$RAINFALL"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0
"14",4.19999980926514
"15",0
"16",0
"17",0
"18",0
"19",0
"20",0
"21",0
"22",0
"23",0
"24",0
"25",0
"26",0
"27",0
"28",0
"29",0
"30",0
"31",0
"32",0
"33",0
"34",0
"35",0
"36",0
"37",0
"38",0
"39",0
"40",0
"41",0
"42",0
"43",0
"44",0
"45",4
"46",2.09999990463257
"47",1.29999995231628
"48",0
"49",0
"50",0
"51",0
"52",0
"53",0.100000001490116
"54",0
"55",0
"56",0
"57",0
"58",1.70000004768372
"59",5.40000009536743
"60",0
"61",0
"62",0
"63",0
"64",0
"65",0
"66",0.100000001490116
"67",0
"68",0
"69",0
"70",0
"71",0
"72",0
"73",0
"74",0
"75",0
"76",0
"77",0
"78",0
"79",0
"80",0
"81",0
"82",0
"83",0
"84",0
"85",0
"86",0
"87",3
"88",0
"89",0
"90",2.09999990463257
"91",0
"92",0
"93",0.600000023841858
"94",0
"95",0
"96",0
"97",0
"98",0.200000002980232
"99",0
"100",0
"101",0
"102",0
"103",0
"104",0
"105",0
"106",0
"107",0
"108",0
"109",0
"110",0
"111",0
"112",7.40000009536743
"113",0.300000011920929
"114",0
"115",0
"116",0
"117",0
"118",0
"119",2.79999995231628
"120",0.800000011920929
"121",0
"122",0
"123",0
"124",0
"125",0
"126",0.100000001490116
"127",0.200000002980232
"128",0.100000001490116
"129",0
"130",0
"131",0
"132",0
"133",5.90000009536743
"134",0.699999988079071
"135",1.20000004768372
"136",0.899999976158142
"137",0
"138",0
"139",0
"140",0
"141",0
"142",2.59999990463257
"143",4.30000019073486
"144",0
"145",0
"146",0
"147",0
"148",0
"149",0
"150",1.10000002384186
"151",9.60000038146973
"152",15.8000001907349
"153",9.19999980926514
"154",1.10000002384186
"155",0
"156",0
"157",0.100000001490116
"158",0.100000001490116
"159",0
"160",0
"161",0
"162",0.100000001490116
"163",10
"164",2.09999990463257
"165",0.400000005960464
"166",0.100000001490116
"167",0
"168",0
"169",0.300000011920929
"170",0
"171",0
"172",0
"173",1.79999995231628
"174",4.19999980926514
"175",0
"176",0
"177",0
"178",0
"179",0
"180",0
"181",0
"182",0
"183",0
"184",0
"185",0
"186",1.70000004768372
"187",0.100000001490116
"188",0.800000011920929
"189",1.10000002384186
"190",0
"191",0
"192",0
"193",0
"194",4.30000019073486
"195",6.30000019073486
"196",0.300000011920929
"197",0
"198",0
"199",0.400000005960464
"200",1.5
"201",1.60000002384186
"202",0.200000002980232
"203",0.899999976158142
"204",0.899999976158142
"205",0
"206",0
"207",0
"208",0
"209",0
"210",0.300000011920929
"211",0
"212",0
"213",0
"214",0.100000001490116
"215",0.5
"216",6
"217",1.10000002384186
"218",0
"219",1.10000002384186
"220",0.400000005960464
"221",1.5
"222",0.200000002980232
"223",0
"224",1
"225",0.100000001490116
"226",0.100000001490116
"227",1.29999995231628
"228",0
"229",2.79999995231628
"230",0.300000011920929
"231",1.89999997615814
"232",0.800000011920929
"233",0.200000002980232
"234",0.600000023841858
"235",0.800000011920929
"236",0.300000011920929
"237",0.100000001490116
"238",0
"239",0
"240",0
"241",0
"242",0
"243",0
"244",0
"245",0
"246",0
"247",0
"248",0
"249",0
"250",0
"251",0
"252",0
"253",0
"254",0
"255",0
"256",4.69999980926514
"257",9.60000038146973
"258",0
"259",1.89999997615814
"260",0.699999988079071
"261",0.600000023841858
"262",0.200000002980232
"263",2.20000004768372
"264",0
"265",0
"266",0
"267",0
"268",0
"269",0
"270",0
"271",0
"272",0
"273",0
"274",7.80000019073486
"275",0.300000011920929
"276",2.29999995231628
"277",0
"278",0
"279",0
"280",0
"281",0
"282",0
"283",0
"284",0.400000005960464
"285",0
"286",0
"287",0.200000002980232
"288",0
"289",0
"290",0
"291",0
"292",0
"293",0
"294",0
"295",0
"296",2.20000004768372
"297",0.100000001490116
"298",0
"299",0
"300",0
"301",0.100000001490116
"302",0
"303",0
"304",0
"305",0
"306",0
"307",0
"308",0
"309",0
"310",0
"311",0
"312",0.5
"313",1.10000002384186
"314",0
"315",0
"316",0.100000001490116
"317",3.29999995231628
"318",0
"319",0
"320",0
"321",0
"322",0
"323",0
"324",0
"325",0
"326",0
"327",0
"328",0
"329",0
"330",0
"331",0
"332",0
"333",2.59999990463257
"334",0
"335",0
"336",0
"337",0.100000001490116
"338",11.1000003814697
"339",0.400000005960464
"340",0.100000001490116
"341",0
"342",0
"343",1.20000004768372
"344",1.89999997615814
"345",0
"346",0
"347",0
"348",0
"349",0
"350",0
"351",0
"352",0
"353",0
"354",0.300000011920929
"355",0
"356",0
"357",6.5
"358",0
"359",0
"360",0
"361",0
"362",0
"363",0
"364",0
"365",0
